#Geograhical area index
#1 US + Canada
#2 Mexico + Central Am. + Carabien
#3 South Am
#4 Australia, New Zealand
#5 Asia
#6 Africa
#7 Mid-east
#8 Western Europe
#9 Former Soviet Block
#10 other or unknown
#11 European Union
#12 Pacific Islands
#
%Title
Test Data Number One
%Format
%Header
Country,Exports,Trade Balance,Year,Population,Geographical Area
%Data
Afghanistan,49700,-79380,1986,12095207,7
Afghanistan,53870,-48650,1987,11930979,7
Afghanistan,45380,-32840,1988,11915184,7
Afghanistan,25230,-46640,1989,12139742,7
Albania,31130,-900,1986,3033143,9
Albania,31120,-210,1987,3115399,9
Albania,34460,-3430,1988,3193989,9
Albania,39370,-4980,1989,3255133,9
Albania,32210,-13140,1990,3289476,9
Albania,7300,-23220,1991,3293107,9
Albania,7000,-53930,1992,3270393,9
Albania,11160,-57420,1993,3230529,9
Albania,14130,-51310,1994,3187003,9
Albania,20490,-53250,1995,3149959,9
Albania,24370,-73850,1996,3122038,9
Albania,15860,-58644,1997,3101366,9
Albania,20801,-64633,1998,3088133,9
Albania,27500,-55670,1999,3081326,9
Albania,25570,-79580,2000,3080066,9
Albania,30450,-93690,2001,3085325,9
Albania,33024,-116033,2002,3097648,9
Albania,44720,-141916,2003,3114978,9
Albania,60333,-164293,2004,3134402,9
Albania,65631,-203958,2005,3153731,9
Albania,79287,-220355,2006,3172155,9
Algeria,806454,-130085,1986,22750282,6
Algeria,902852,152276,1987,23392145,6
Algeria,762042,6847,1988,24025337,6
Algeria,953400,42478,1989,24654630,6
Algeria,1296500,335517,1990,25282515,6
Algeria,1233030,469824,1991,25911153,6
Angola,134600,-21100,1986,9530954,6
Angola,232200,68900,1987,9767209,6
Angola,249200,11400,1988,9999701,6
Angola,301400,65100,1989,10250354,6
Angola,388390,60690,1990,10534245,6
Angola,344930,43430,1991,10858529,6
Angola,383280,-5476,1992,11216506,6
Angola,290050,-1820,1993,11592743,6
Angola,301660,14980,1994,11964770,6
Angola,372270,31669,1995,12317179,6
Angola,509500,89890,1996,12643998,6
Angola,500676,-5712,1997,12952609,6
Angola,354287,-104983,1998,13257098,6
Angola,515653,-39413,1999,13578001,6
Angola,792071,244901,2000,13930006,6
Angola,653432,3951,2001,14318050,6
Angola,832789,145256,2002,14737151,6
Angola,950818,90800,2003,15180100,6
Angola,1347500,316326,2004,15635519,6
Angola,2410900,914203,2005,16095214,6
Anguilla,37,-225,1990,9027,10
Anguilla,45,-106,1991,9337,10
Anguilla,62,-967,1992,9615,10
Anguilla,114,-536,1993,9865,10
Anguilla,167,-76,1994,10096,10
Anguilla,122,-1803,1995,10313,10
Anguilla,176,-2147,1996,10515,10
Anguilla,160,-1561,1997,10699,10
Anguilla,350,-1826,1998,10874,10
Anguilla,290,-4746,1999,11049,10
Anguilla,443,-5479,2000,11233,10
Anguilla,356,-3364,2001,11430,10
Anguilla,437,-3034,2002,11637,10
Anguilla,425,-3832,2003,11848,10
Anguilla,602,-5311,2004,12057,10
Anguilla,1501,-5573,2005,12256,10
Antigua and Barbuda,3152,-8765,1986,66358,10
Antigua and Barbuda,2630,-7616,1987,64825,10
Antigua and Barbuda,2819,-1828,1988,63377,10
Antigua and Barbuda,2914,-4798,1989,62334,10
Antigua and Barbuda,3342,474,1990,61922,10
Antigua and Barbuda,5520,-3,1991,62224,10
Antigua and Barbuda,7502,2091,1992,63155,10
Antigua and Barbuda,6208,4066,1993,64566,10
Antigua and Barbuda,4523,1453,1994,66230,10
Antigua and Barbuda,5314,-3732,1995,67967,10
Antigua and Barbuda,3887,-6485,1996,69740,10
Antigua and Barbuda,3879,-3500,1997,71567,10
Antigua and Barbuda,3738,-2403,1998,73386,10
Antigua and Barbuda,3743,-5333,1999,75140,10
Antigua and Barbuda,5236,-3160,2000,76781,10
Antigua and Barbuda,4120,-4888,2001,78274,10
Antigua and Barbuda,3949,-7338,2002,79609,10
Antigua and Barbuda,4500,-7699,2003,80816,10
Antigua and Barbuda,5535,-4646,2004,81947,10
Antigua and Barbuda,5761,-10202,2005,83039,10
Argentina,685200,154300,1986,30758067,3
Argentina,636000,24500,1987,31212184,3
Argentina,913400,355500,1988,31667441,3
Argentina,957300,510900,1989,32123788,3
Argentina,1235400,795400,1990,32580860,3
Argentina,1197800,282000,1991,33038289,3
Argentina,1239890,-395330,1992,33494839,3
Argentina,1326890,-568924,1993,33948233,3
Argentina,1602330,-791790,1994,34395643,3
Argentina,2116170,-107868,1995,34834902,3
Argentina,2404270,-178745,1996,35265846,3
Argentina,2643080,-650782,1997,35688625,3
Argentina,2643370,-754155,1998,36101962,3
Argentina,2330860,-490576,1999,36504473,3
Argentina,2634100,-183188,2000,36895712,3
Argentina,2654270,352181,2001,37274397,3
Argentina,2565060,1565840,2002,37642174,3
Argentina,2993880,1555240,2003,38005141,3
Argentina,3457570,1193640,2004,38371527,3
Argentina,4038700,1188200,2005,38747148,3
Argentina,4645640,1293760,2006,39134297,3
Armenia,15619,-12077,1993,3371798,9
Armenia,21535,-20531,1994,3292944,9
Armenia,27090,-42665,1995,3226978,9
Armenia,29044,-52000,1996,3178010,9
Armenia,23364,-62224,1997,3143007,9
Armenia,22889,-65577,1998,3118913,9
